| Package | Statements | Branches | Functions | Lines |
|---------|-----------:|---------:|----------:|------:|
| `@croco/framework-context` | 84.68 | 72.59 | 92.69 | 84.81 |
| `@croco/problems-core` | 86.91 | 78.46 | 90.90 | 86.77 |
| `@croco/protocols-core` | 84.95 | 73.86 | 92.61 | 84.79 |
| `@croco/protocols-rest` | 71.50 | 70.74 | 71.92 | 73.19 |
| `@croco/openapi-spec` | 91.82 | 76.17 | 93.00 | 91.55 |
| `@croco/rpc-codegen` | 90.37 | 73.78 | 96.78 | 90.12 |
| `@croco/transports-http` | 85.88 | 73.83 | 85.75 | 86.18 |
| `@croco/telemetry-api` | 76.42 | 84.81 | 82.75 | 78.81 |
| `@croco/telemetry-sdk-node` | 88.42 | 87.20 | 100.00 | 88.42 |
| `@croco/tx-core` | 98.15 | 92.59 | 100.00 | 98.12 |
| `@croco/tx-drizzle` | 96.90 | 87.50 | 96.96 | 96.84 |
| `@croco/events-core` | 87.95 | 75.63 | 91.20 | 87.80 |
| `@croco/events-tx` | 78.82 | 71.42 | 79.66 | 79.17 |
| `@croco/retry-core` | 79.33 | 75.43 | 73.56 | 80.08 |
| `@croco/idempotency-core` | 89.81 | 75.00 | 93.22 | 89.90 |
| `@croco/testing` | 74.24 | 60.08 | 77.36 | 73.92 |
| `create-croco-app` | 86.19 | 78.36 | 96.03 | 89.60 |
| `@croco/cli` | 76.67 | 65.91 | 77.41 | 77.69 |
| `@croco/auth-core` | 94.09 | 87.64 | 94.91 | 94.20 |
